Match.Number,Score,Wickets.Lost,Overs,RPO,Target,Inns,Result,Opposition,Ground,Date,Op.Score,Op.Wickets.Lost,Op.Overs,Op.RPO,Op.Target,Op.Inns
1,127,4,19.5,6.4,127,2,1,v South Africa,Johannesburg,01/12/06,126,9,20,6.3,NA,1
2,141,9,20,7.05,NA,1,NA,v Pakistan,Durban,14/09/07,141,7,20,7.05,142,2
3,180,9,20,9,191,2,0,v New Zealand,Johannesburg,16/09/07,190,10,20,9.5,NA,1
4,218,4,20,10.9,NA,1,1,v England,Durban,19/09/07,200,6,20,10,219,2
5,153,5,20,7.65,NA,1,1,v South Africa,Durban,20/09/07,116,9,20,5.8,154,2
6,188,5,20,9.4,NA,1,1,v Australia,Durban,22/09/07,173,7,20,8.65,189,2
7,157,5,20,7.85,NA,1,1,v Pakistan,Johannesburg,24/09/07,152,10,19.3,7.79,158,2
8,167,3,18.1,9.19,167,2,1,v Australia,Mumbai (BS),20/10/07,166,5,20,8.3,NA,1
9,74,10,17.3,4.22,NA,1,0,v Australia,Melbourne,01/02/08,75,1,11.2,6.61,75,2
10,174,7,19.2,9,172,2,1,v Sri Lanka,Colombo (RPS),10/02/09,171,4,20,8.55,NA,1
11,162,8,20,8.1,NA,1,0,v New Zealand,Christchurch,25/02/09,166,3,18.5,8.81,163,2
12,149,6,20,7.45,NA,1,0,v New Zealand,Wellington,27/02/09,150,5,20,7.5,150,2
13,180,5,20,9,NA,1,1,v Bangladesh,Nottingham,06/06/09,155,8,20,7.75,181,2
14,113,2,15.3,7.29,113,2,1,v Ireland,Nottingham,10/06/09,112,8,18,6.22,NA,1
15,153,7,20,7.65,NA,1,0,v West Indies,Lord's,12/06/09,156,3,18.4,8.35,154,2
16,150,5,20,7.5,154,2,0,v England,Lord's,14/06/09,153,7,20,7.65,NA,1
17,118,8,20,5.9,131,2,0,v South Africa,Nottingham,16/06/09,130,5,20,6.5,NA,1
18,186,9,20,9.3,216,2,0,v Sri Lanka,Nagpur,09/12/09,215,5,20,10.75,NA,1
19,211,4,19.1,11,207,2,1,v Sri Lanka,Mohali,12/12/09,206,7,20,10.3,NA,1
20,116,3,14.5,7.82,116,2,1,v Afghanistan,Gros Islet,01/05/10,115,8,20,5.75,NA,1
21,186,5,20,9.3,NA,1,1,v South Africa,Gros Islet,02/05/10,172,5,20,8.6,187,2
22,135,10,17.4,7.64,185,2,0,v Australia,Bridgetown,07/05/10,184,5,20,9.2,NA,1
23,155,9,20,7.75,170,2,0,v West Indies,Bridgetown,09/05/10,169,6,20,8.45,NA,1
24,163,5,20,8.15,NA,1,0,v Sri Lanka,Gros Islet,11/05/10,167,5,20,8.35,164,2
25,112,4,15,7.46,112,2,1,v Zimbabwe,Harare,12/06/10,111,9,20,5.55,NA,1
26,144,3,18,8,141,2,1,v Zimbabwe,Harare,13/06/10,140,5,20,7,NA,1
27,168,6,20,8.4,NA,1,1,v South Africa,Durban,09/01/11,147,9,20,7.35,169,2
28,159,6,20,7.95,NA,1,1,v West Indies,Port of Spain,04/06/11,143,5,20,7.15,160,2
29,165,10,19.4,8.38,NA,1,0,v England,Manchester,31/08/11,169,4,19.3,8.66,166,2
30,120,9,20,6,NA,1,0,v England,Kolkata,29/10/11,121,4,18.4,6.48,121,2
31,140,6,20,7,172,2,0,v Australia,Sydney,01/02/12,171,4,20,8.55,NA,1
32,135,2,19.4,6.86,132,2,1,v Australia,Melbourne,03/02/12,131,10,19.4,6.66,NA,1
33,71,0,7.5,9.06,83,2,0,v South Africa,Johannesburg,30/03/12,219,4,20,10.95,NA,1
34,155,3,20,7.75,NA,1,1,v Sri Lanka,Pallekele,07/08/12,116,10,18,6.44,156,2
35,166,4,20,8.3,168,2,0,v New Zealand,Chennai,11/09/12,167,5,20,8.35,NA,1
36,159,5,20,7.95,NA,1,1,v Afghanistan,Colombo (RPS),19/09/12,136,10,19.3,6.97,160,2
37,170,4,20,8.5,NA,1,1,v England,Colombo (RPS),23/09/12,80,10,14.4,5.45,171,2
38,140,7,20,7,NA,1,0,v Australia,Colombo (RPS),28/09/12,141,1,14.5,9.5,141,2
39,129,2,17,7.58,129,2,1,v Pakistan,Colombo (RPS),30/09/12,128,10,19.4,6.5,NA,1
40,152,6,20,7.6,NA,1,1,v South Africa,Colombo (RPS),02/10/12,151,10,19.5,7.61,153,2
41,158,5,17.5,8.85,158,2,1,v England,Pune,20/12/12,157,6,20,7.85,NA,1
42,177,8,20,8.85,NA,1,0,v England,Mumbai,22/12/12,181,4,20,9.05,178,2
43,133,9,20,6.65,NA,1,0,v Pakistan,Bangalore,25/12/12,134,5,19.4,6.81,134,2
44,192,5,20,9.6,NA,1,1,v Pakistan,Ahmedabad,28/12/12,181,7,20,9.05,193,2
45,202,4,19.4,10.27,202,2,1,v Australia,Rajkot,10/10/13,201,7,20,10.05,NA,1
46,131,3,18.3,7.08,131,2,1,v Pakistan,Dhaka,21/03/14,130,7,20,6.5,NA,1
47,130,3,19.4,6.61,130,2,1,v West Indies,Dhaka,23/03/14,129,7,20,6.45,NA,1
48,141,2,18.3,7.62,139,2,1,v Bangladesh,Dhaka,28/03/14,138,7,20,6.9,NA,1
49,159,7,20,7.95,NA,1,1,v Australia,Dhaka,30/03/14,86,10,16.2,5.26,160,2
50,176,4,19.1,9.18,173,2,1,v South Africa,Dhaka,04/04/14,172,4,20,8.6,NA,1
51,130,4,20,6.5,NA,1,0,v Sri Lanka,Dhaka,06/04/14,134,4,17.5,7.51,131,2
52,177,5,20,8.85,181,2,0,v England,Birmingham,07/09/14,180,7,20,9,NA,1
53,178,5,20,8.9,NA,1,1,v Zimbabwe,Harare,17/07/15,124,7,20,6.2,179,2
54,135,9,20,6.75,146,2,0,v Zimbabwe,Harare,19/07/15,145,7,20,7.25,NA,1
55,199,5,20,9.95,NA,1,0,v South Africa,Dharamsala,02/10/15,200,3,19.4,10.16,200,2
56,92,10,17.2,5.3,NA,1,0,v South Africa,Cuttack,05/10/15,96,4,17.1,5.59,93,2
57,188,3,20,9.4,NA,1,1,v Australia,Adelaide,26/01/16,151,10,19.3,7.74,189,2
58,184,3,20,9.2,NA,1,1,v Australia,Melbourne,29/01/16,157,8,20,7.85,185,2
59,200,3,20,10,198,2,1,v Australia,Sydney,31/01/16,197,5,20,9.85,NA,1
60,101,10,18.5,5.36,NA,1,0,v Sri Lanka,Pune,09/02/16,105,5,18,5.83,102,2
61,196,6,20,9.8,NA,1,1,v Sri Lanka,Ranchi,12/02/16,127,9,20,6.35,197,2
62,84,1,13.5,6.07,83,2,1,v Sri Lanka,Visakhapatnam,14/02/16,82,10,18,4.55,NA,1
63,166,6,20,8.3,NA,1,1,v Bangladesh,Dhaka,24/02/16,121,7,20,6.05,167,2
64,85,5,15.3,5.48,84,2,1,v Pakistan,Dhaka,27/02/16,83,10,17.3,4.74,NA,1
65,142,5,19.2,7.34,139,2,1,v Sri Lanka,Dhaka,01/03/16,138,9,20,6.9,NA,1
66,82,1,10.1,8.06,82,2,1,v U.A.E.,Dhaka,03/03/16,81,9,20,4.05,NA,1
67,122,2,13.5,8.81,121,2,1,v Bangladesh,Dhaka,06/03/16,120,5,15,8,NA,1
68,79,10,18.1,4.34,127,2,0,v New Zealand,Nagpur,15/03/16,126,7,20,6.3,NA,1
69,119,4,15.5,7.51,119,2,1,v Pakistan,Kolkata,19/03/16,118,5,18,6.55,NA,1
70,146,7,20,7.3,NA,1,1,v Bangladesh,Bangalore,23/03/16,145,9,20,7.25,147,2
71,161,4,19.1,8.4,161,2,1,v Australia,Mohali,27/03/16,160,6,20,8,NA,1
72,192,2,20,9.6,NA,1,0,v West Indies,Mumbai,31/03/16,196,3,19.4,9.96,193,2
73,168,6,20,8.4,171,2,0,v Zimbabwe,Harare,18/06/16,170,6,20,8.5,NA,1
74,103,0,13.1,7.82,100,2,1,v Zimbabwe,Harare,20/06/16,99,9,20,4.95,NA,1
75,138,6,20,6.9,NA,1,1,v Zimbabwe,Harare,22/06/16,135,6,20,6.75,139,2
